Title,Author,Height,Publisher,GenreCombined
Simpsons & Their Mathematical Secrets,"Singh, Simon",233,Unknown Publisher,"science,mathematics"
Pattern Classification,"Duda, Hart",241,Unknown Publisher,"tech,data_science"
From Beirut to Jerusalem,"Friedman, Thomas",202,Unknown Publisher,"nonfiction,history"
"Code Book, The","Singh, Simon",197,Unknown Publisher,"science,mathematics"
"Age of the Warrior, The","Fisk, Robert",197,Unknown Publisher,"nonfiction,history"
Final Crisis,Unknown Author,257,Unknown Publisher,"fiction,comic"
"Killing Joke, The",Unknown Author,283,Unknown Publisher,"fiction,comic"
Flashpoint,Unknown Author,265,Unknown Publisher,"fiction,comic"
Batman Earth One,Unknown Author,265,Unknown Publisher,"fiction,comic"
Crisis on Infinite Earths,Unknown Author,258,Unknown Publisher,"fiction,comic"
"Numbers Behind Numb3rs, The","Devlin, Keith",202,Unknown Publisher,"science,mathematics"
Superman Earth One - 1,Unknown Author,259,Unknown Publisher,"fiction,comic"
Superman Earth One - 2,Unknown Author,258,Unknown Publisher,"fiction,comic"
Justice League: Throne of Atlantis,Unknown Author,258,Unknown Publisher,"fiction,comic"
Justice League: The Villain's Journey,Unknown Author,258,Unknown Publisher,"fiction,comic"
"Death of Superman, The",Unknown Author,258,Unknown Publisher,"fiction,comic"
History of the DC Universe,Unknown Author,258,Unknown Publisher,"fiction,comic"
Batman: The Long Halloween,Unknown Author,258,Unknown Publisher,"fiction,comic"
"Life in Letters, A","Steinbeck, John",196,Unknown Publisher,"nonfiction,autobiography"
"Information, The","Gleick, James",233,Unknown Publisher,"science,mathematics"
"Journal of Economics, vol 106 No 3",Unknown Author,235,Unknown Publisher,"science,economics"
Elements of Information Theory,"Thomas, Joy",229,Unknown Publisher,"tech,signal_processing"
Power Electronics - Rashid,"Rashid, Muhammad",235,Unknown Publisher,"tech,computer_science"
Power Electronics - Mohan,"Mohan, Ned",237,Unknown Publisher,"tech,computer_science"
Neural Networks,"Haykin, Simon",240,Unknown Publisher,"tech,data_science"
"Grapes of Wrath, The","Steinbeck, John",196,Unknown Publisher,"fiction,classic"
Vyakti ani Valli,"Deshpande, P L",211,Unknown Publisher,"nonfiction,misc"
Statistical Learning Theory,"Vapnik, Vladimir",228,Unknown Publisher,"tech,data_science"
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",180,Unknown Publisher,"nonfiction,history"
Empire of the Mughal - Brothers at War,"Rutherford, Alex",180,Unknown Publisher,"nonfiction,history"
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",180,Unknown Publisher,"nonfiction,history"
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",180,Unknown Publisher,"nonfiction,history"
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",180,Unknown Publisher,"nonfiction,history"
Mossad,"Baz-Zohar, Michael",236,Unknown Publisher,"nonfiction,history"
Jim Corbett Omnibus,"Corbett, Jim",223,Unknown Publisher,"nonfiction,history"
20000 Leagues Under the Sea,"Verne, Jules",190,Unknown Publisher,"fiction,novel"
Batatyachi Chal,Deshpande P L,200,Unknown Publisher,"fiction,novel"
Hafasavnuk,Deshpande P L,211,Unknown Publisher,"fiction,novel"
Urlasurla,Deshpande P L,211,Unknown Publisher,"fiction,novel"
Pointers in C,"Kanetkar, Yashwant",213,Unknown Publisher,"tech,computer_science"
"Cathedral and the Bazaar, The","Raymond, Eric",217,Unknown Publisher,"tech,computer_science"
Design with OpAmps,"Franco, Sergio",240,Unknown Publisher,"tech,computer_science"
Think Complexity,"Downey, Allen",230,Unknown Publisher,"tech,data_science"
"Devil's Advocate, The","West, Morris",178,Unknown Publisher,"fiction,novel"
Ayn Rand Answers,"Rand, Ayn",203,Unknown Publisher,"philosophy,objectivism"
Philosophy: Who Needs It,"Rand, Ayn",171,Unknown Publisher,"philosophy,objectivism"
"World's Great Thinkers, The",Unknown Author,189,Unknown Publisher,"science,physics"
Data Analysis with Open Source Tools,"Janert, Phillip",230,Unknown Publisher,"tech,data_science"
Broca's Brain,"Sagan, Carl",174,Unknown Publisher,"science,physics"
Men of Mathematics,"Bell, E T",217,Unknown Publisher,"science,mathematics"
Oxford book of Modern Science Writing,"Dawkins, Richard",240,Unknown Publisher,"science,science"
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",224,Unknown Publisher,"nonfiction,legal"
"Arthashastra, The",Kautiyla,214,Unknown Publisher,"philosophy,philosophy"
